Title,URL,Date,Author,Company,Company Size
"Web3.0 Marketplace Update: MVP Design Complete, Hiring Started ...",https://www.linkedin.com/posts/akshat-jain-2a5047236_marketplace-hiring-startup-activity-7371123982009319425-YXaF,2025-09-09,akshat-jain-2a5047236_marketplace-hiring-startup-activity-7371123982009319425-yxaf,Unknown,Unknown
Northern Suburbs: Ideal for Industrial and Logistics in Cape Town ...,https://www.linkedin.com/posts/baker-street-properties_area-profilenorthern-suburbs-activity-7373662042030952450-AXdJ,2025-09-16,baker-street-properties_area-profilenorthern-suburbs-activity-7373662042030952450-axdj,Unknown,Unknown
Building a Lead Enrichment AI Agent in 90 Days | Jainish Gamit ...,https://www.linkedin.com/posts/jainish-gamit-2b024b296_lead-enrichment-ai-agent-activity-7372225943970467840-J6s4,2025-09-12,jainish-gamit-2b024b296_lead-enrichment-ai-agent-activity-7372225943970467840-j6s4,Unknown,Unknown
"JTC studies Jurong Island for AI data centers, focusing on safety and ...",https://www.linkedin.com/posts/leeps_%E5%9B%A0%E5%BA%94ai%E7%83%AD%E6%BD%AE%E4%B8%8E%E5%9C%9F%E5%9C%B0%E7%A8%80%E7%BC%BA-%E6%88%91%E5%9B%BD%E6%8E%A2%E8%AE%A8%E8%A3%95%E5%BB%8A%E5%B2%9B%E8%AE%BE%E6%95%B0%E6%8D%AE%E4%B8%AD%E5%BF%83-activity-7368421323234009088-rw5N,2025-09-01,leeps_%e5%9b%a0%e5%ba%94ai%e7%83%ad%e6%bd%ae%e4%b8%8e%e5%9c%9f%e5%9c%b0%e7%a8%80%e7%bc%ba-%e6%88%91%e5%9b%bd%e6%8e%a2%e8%ae%a8%e8%a3%95%e5%bb%8a%e5%b2%9b%e8%ae%be%e6%95%b0%e6%8d%ae%e4%b8%ad%e5%bf%83-activity-7368421323234009088-rw5n,Unknown,Unknown
Revolutionizing Pharma Calls: From Long to Smart | Adarsh Tiwari ...,https://www.linkedin.com/posts/adarsh-tiwari-835413187_pharmamarketing-digitalpharma-healthcareinnovation-activity-7368656902525763585-9wEr,2025-09-02,adarsh-tiwari-835413187_pharmamarketing-digitalpharma-healthcareinnovation-activity-7368656902525763585-9wer,Unknown,Unknown
We're Hiring | Blockchain Developers – Noida EarlyTeam HR ...,https://www.linkedin.com/posts/anil-jaiswal-166a2768_were-hiring-blockchain-developers-activity-7371976555113181184-Zdoq,2025-09-11,anil-jaiswal-166a2768_were-hiring-blockchain-developers-activity-7371976555113181184-zdoq,Unknown,Unknown
#startips #teams #leadership #communication | Dr Eleni Staraki,https://www.linkedin.com/posts/dr-eleni-staraki-12b81a28_startips-teams-leadership-activity-7368175916629348352-PDIB,2025-09-01,dr-eleni-staraki-12b81a28_startips-teams-leadership-activity-7368175916629348352-pdib,Unknown,Unknown
Why Eastern Europe is the new hub for remote developers | Ben ...,https://www.linkedin.com/posts/benhs_eastern-europe-has-quietly-become-the-go-to-activity-7371444930797281281-QrCF,2025-09-10,benhs_eastern-europe-has-quietly-become-the-go-to-activity-7371444930797281281-qrcf,Unknown,Unknown
How to Write an ATS-Friendly Resume | Mahak B. posted on the ...,https://www.linkedin.com/posts/mahak-b-764449308_this-resume-can-score-a-high-ats-score-of-activity-7374495213333069824-BV90,2025-09-18,mahak-b-764449308_this-resume-can-score-a-high-ats-score-of-activity-7374495213333069824-bv90,Unknown,Unknown
Introducing PlentyJob.com - Nigeria's First Auto-Apply Job Platform ...,https://www.linkedin.com/posts/ezihestanley_introducing-plentyjobcom-nigerias-activity-7370040636806299648-41gJ,2025-09-06,ezihestanley_introducing-plentyjobcom-nigerias-activity-7370040636806299648-41gj,Unknown,Unknown
DjangoCon US: Ideas for Lightning Talk | Jon Gould posted on the ...,https://www.linkedin.com/posts/jongould_djangocon-djangoconus-djangoconchicago-activity-7368670223467565056-TrOp,2025-09-02,jongould_djangocon-djangoconus-djangoconchicago-activity-7368670223467565056-trop,Unknown,Unknown
JobNest: A Full-Stack Freelancing Platform Built by University Team ...,https://www.linkedin.com/posts/zeineb-ben-ayed-297769234_jobnest-freelancingplatform-graphql-activity-7368957092541386755-w3Mk,2025-09-03,zeineb-ben-ayed-297769234_jobnest-freelancingplatform-graphql-activity-7368957092541386755-w3mk,Unknown,Unknown
Updated portfolio on Google Sites vs Canva Sites | Grace ...,https://www.linkedin.com/posts/grace-benjaminsen_portfolio-site-activity-7369024264512884736-7fux,2025-09-03,grace-benjaminsen_portfolio-site-activity-7369024264512884736-7fux,Unknown,Unknown
"Web Development, AI, and Career Insights: Q&A with Professors ...",https://www.linkedin.com/posts/thankyoucode_web-development-ai-and-career-insights-activity-7369784859763896320-K-RX,2025-09-06,thankyoucode_web-development-ai-and-career-insights-activity-7369784859763896320-k-rx,Unknown,Unknown
"New bill targets offshore developers, sparks debate on local jobs vs ...",https://www.linkedin.com/posts/execoach_a-new-bill-just-hit-the-floor-lawmakers-activity-7370093422977871873-HrKn,2025-09-06,execoach_a-new-bill-just-hit-the-floor-lawmakers-activity-7370093422977871873-hrkn,Unknown,Unknown
Video Games: Innovation vs Regulation - A Double-Edged Sword ...,https://www.linkedin.com/posts/omar-zaher-284126277_the-double-edged-sword-of-video-games-innovation-activity-7371528940106194944-T1So,2025-09-10,omar-zaher-284126277_the-double-edged-sword-of-video-games-innovation-activity-7371528940106194944-t1so,Unknown,Unknown
Leeds AI companies outpace London in hiring | Jamie Harvey ...,https://www.linkedin.com/posts/jamie-harvey-080239159_the-north-is-thriving-tell-me-something-activity-7371441068795662337-ckrO,2025-09-10,jamie-harvey-080239159_the-north-is-thriving-tell-me-something-activity-7371441068795662337-ckro,Unknown,Unknown
Replit launches Agent 3: an AI teammate for coding | Mohammad ...,https://www.linkedin.com/posts/mhdfaranx_big-news-replit-just-launched-agent-3-activity-7371591646779527169-S2JX,2025-09-10,mhdfaranx_big-news-replit-just-launched-agent-3-activity-7371591646779527169-s2jx,Unknown,Unknown
How to Stay Relevant in Sales Amidst AI Advancements | Chris ...,https://www.linkedin.com/posts/chris-mugambi-58976918b_will-ai-replace-salespeople-the-truth-no-activity-7372204188635860992-R1DS,2025-09-12,chris-mugambi-58976918b_will-ai-replace-salespeople-the-truth-no-activity-7372204188635860992-r1ds,Unknown,Unknown
How to Maximize ROI with UiPath Licensing and Architecture ...,https://www.linkedin.com/posts/mo3bdlaa_uipath-automation-rpa-activity-7370879879212515328-FDrc,2025-09-08,mo3bdlaa_uipath-automation-rpa-activity-7370879879212515328-fdrc,Unknown,Unknown
How to build effective voice agents with Voiceflow | Harsh Agrawal ...,https://www.linkedin.com/posts/harsh-agrawal-490138256_voice-agents-are-everywhere-now-and-honestly-activity-7371238032777281536-SGrc,2025-09-09,harsh-agrawal-490138256_voice-agents-are-everywhere-now-and-honestly-activity-7371238032777281536-sgrc,Unknown,Unknown
